rule,n_apps,n_ops,seed,regime,objective,exact_objective,gap,seconds,exact_seconds,evaluated
sum,4,3,4,small,0.3229048148778063,0.3229048148778063,0.0,0.006681381999896985,0.07328128199992534,110
sum,4,3,5,small,0.5981689442125402,0.6004795657529844,0.0038479603174286225,0.006702533000179756,0.0903152930000033,101
sum,4,3,6,small,0.40269667735933856,0.40269667735933856,0.0,0.00455148600008215,0.06994002800001908,88
sum,4,3,7,small,0.5930861355413646,0.5930861355413646,0.0,0.008982295000123486,0.09667490800006817,133
sum,4,3,8,small,0.4227455413413309,0.4227455413413309,0.0,0.005600307999884535,0.07072103800010154,113
sum,4,3,9,small,0.6147413836596423,0.6147413836596423,0.0,0.010908640000025116,0.0986929919999966,142
sum,10,5,0,large,0.5133882861567983,,,0.012548421000019516,,244
sum,10,5,1,large,0.49580110803174304,,,0.021005272999900626,,352
sum,10,5,2,large,0.49191589646739997,,,0.02171701900010703,,357
sum,10,5,3,large,0.35087446584408943,,,0.015686778999906892,,278
sum,10,5,4,large,0.3281340314402846,,,0.009766628000079436,,244
sum,10,5,5,large,0.34411177364050394,,,0.020709531000193238,,351
sum,10,5,6,large,0.37456733266077535,,,0.019523217999903864,,350
sum,10,5,7,large,0.5600517523853599,,,0.025893473999985872,,380
sum,10,5,8,large,0.3990866228646601,,,0.01656609499991646,,299
sum,10,5,9,large,0.3640136981483589,,,0.01231970399999227,,219
sum,20,10,0,large,0.4099708466359801,,,0.055209128999877066,,599
sum,20,10,1,large,0.37831174817042795,,,0.034194304000038755,,397
sum,20,10,2,large,0.45126571454461584,,,0.04649019700013923,,561
sum,20,10,3,large,0.26977122964079414,,,0.03425255699994523,,351
sum,20,10,4,large,0.40118990222437234,,,0.03829921800002012,,454
sum,20,10,5,large,0.5245704069576341,,,0.05466715100010333,,594
sum,20,10,6,large,0.37591025112982,,,0.05167403199993714,,558
sum,20,10,7,large,0.39179756622349826,,,0.03121969799985891,,338
sum,20,10,8,large,0.35463158582052295,,,0.02893834200017409,,330
sum,20,10,9,large,0.37074003713635983,,,0.0638970799998333,,588
sum,50,25,0,large,0.35172867946373565,,,0.27443737999988116,,1326
sum,50,25,1,large,0.3358821461892239,,,0.1653580280001279,,787
sum,50,25,2,large,0.34780801086738755,,,0.15135348499984502,,783
sum,50,25,3,large,0.34248027175688966,,,0.1727478959999189,,846
sum,50,25,4,large,0.3569257104639888,,,0.13195794099988234,,594
sum,50,25,5,large,0.35754624661777606,,,0.19548119599994607,,1005
sum,50,25,6,large,0.33824447625085013,,,0.17214044899992587,,849
sum,50,25,7,large,0.38090067122858035,,,0.16468067300002076,,868
sum,50,25,8,large,0.3365178350765011,,,0.15409965599997122,,741
sum,50,25,9,large,0.3025320343659479,,,0.14600353800005905,,708
sum,100,50,0,large,0.2933005317116221,,,0.5099578950000705,,829
sum,100,50,1,large,0.31892924125915845,,,0.6797514810000393,,1171
sum,100,50,2,large,0.34461719838965366,,,0.5509411940001883,,1005
sum,100,50,3,large,0.23603707347497854,,,0.6555662409998604,,1310
sum,100,50,4,large,0.3267098203933783,,,0.38710702299999866,,528
sum,100,50,5,large,0.302888512323333,,,0.6052115219999905,,958
sum,100,50,6,large,0.35308017758045845,,,0.9441830129999289,,1665
sum,100,50,7,large,0.35994753003941454,,,0.5633411599999363,,935
sum,100,50,8,large,0.27468835911036094,,,0.3694751059999817,,581
sum,100,50,9,large,0.3133627785052411,,,0.5951121929999772,,1113
sum,200,100,0,large,0.2464874582962378,,,1.854587568999932,,882
sum,200,100,1,large,0.26176802538982913,,,2.2667175029998816,,1401
sum,200,100,2,large,0.26350581872834306,,,2.398719382000081,,1271
sum,200,100,3,large,0.27576409680557573,,,2.4706806869999127,,1620
sum,200,100,4,large,0.26427244728775556,,,2.3707717199999934,,1272
sum,200,100,5,large,0.27068325976082336,,,1.9714166620001379,,880
sum,200,100,6,large,0.2756381959966543,,,2.41420012399999,,1296
sum,200,100,7,large,0.3141195881816725,,,2.078841094999916,,1231
sum,200,100,8,large,0.2800002022901049,,,2.5283557170000677,,1443
sum,200,100,9,large,0.2643177869834361,,,3.161800523000011,,1963
overhead,3,2,0,small,0.2806004438330239,0.2806004438330239,0.0,0.003289876999815533,0.0018003459999818006,33
overhead,3,2,1,small,0.40109966257897756,0.40109966257897756,0.0,0.003877514000123483,0.001610716999948636,33
overhead,3,2,2,small,0.43725590919885093,0.43725590919885093,0.0,0.003181614999903104,0.0016902580000532907,24
overhead,3,2,3,small,0.543684342298818,0.543684342298818,0.0,0.002904813999975886,0.0020339319999038707,22
overhead,3,2,4,small,0.4469812371393792,0.4469812371393792,0.0,0.0048763590000362456,0.0018624750000526547,30
overhead,3,2,5,small,0.7652812847214642,0.7652812847214642,0.0,0.0037222389998987637,0.002451455000027636,26
overhead,3,2,6,small,0.30729180477348783,0.30729180477348783,0.0,0.007493162999935521,0.0023075220001373964,60
overhead,3,2,7,small,0.23479303891780898,0.23479303891780898,0.0,0.004614320999962729,0.002317204000064521,30
overhead,3,2,8,small,0.29557401057177485,0.29557401057177485,0.0,0.0032775869999568386,0.0018936320000193518,32
overhead,3,2,9,small,0.3342088941559161,0.3342088941559161,0.0,0.00354189899985613,0.0019059250000736938,34
overhead,3,3,0,small,0.5694436173500632,0.5694436173500632,0.0,0.005551347999926293,0.024787134000007427,64
overhead,3,3,1,small,0.48899098082169784,0.48899098082169784,0.0,0.005911209000032613,0.019617141000026095,83
