cap_scale,price_sigma,seed,w_app,w_op,w_sys,napp,nop,nsys,n_chains
0.5,0.8,0,0.8,0.0,0.2,0.4617783000122361,0.6238433720817935,0.6333069077772167,8
0.5,0.8,0,0.8,0.2,0.0,0.4186496853063979,0.8062261007684846,0.9105044742675473,10
0.5,0.8,0,1.0,0.0,0.0,0.523059192516844,0.40577490818803025,0.46951205859945394,10
0.5,0.8,1,0.0,0.0,1.0,0.27257326675777466,1.068976817655426,0.839155066689343,7
0.5,0.8,1,0.0,0.2,0.8,0.34898029925451035,1.0586362826723403,1.0219670820846358,8
0.5,0.8,1,0.0,0.4,0.6,0.34898029925451035,1.0586362826723403,1.0219670820846358,8
0.5,0.8,1,0.0,0.6,0.4,0.34898029925451035,1.0586362826723403,1.0219670820846358,8
0.5,0.8,1,0.0,0.8,0.2,0.3298728663118087,0.9634332395708828,0.9370691104714564,9
0.5,0.8,1,0.0,1.0,0.0,0.3298728663118087,0.9634332395708828,0.9370691104714564,9
0.5,0.8,1,0.2,0.0,0.8,0.20398239331048715,0.7220957624517145,0.8509775025471567,8
0.5,0.8,1,0.2,0.2,0.6,0.28306669166480597,1.1414530629925985,0.9316768321199955,8
0.5,0.8,1,0.2,0.4,0.4,0.28255579635421485,1.4638263046641717,1.156027724767662,9
0.5,0.8,1,0.2,0.6,0.2,0.3062957420424684,1.23451381849279,1.0327191763270664,7
0.5,0.8,1,0.2,0.8,0.0,0.3062957420424684,1.23451381849279,1.0327191763270664,7
0.5,0.8,1,0.4,0.0,0.6,0.37141957092971684,0.7628253953822922,0.8012868826962856,9
0.5,0.8,1,0.4,0.2,0.4,0.2705713752366909,1.1348052683011416,1.0919171585971508,8
0.5,0.8,1,0.4,0.4,0.2,0.2705713752366909,1.1348052683011416,1.0919171585971508,8
0.5,0.8,1,0.4,0.6,0.0,0.3519831570753436,1.2904731139092038,1.1414625402038927,9
0.5,0.8,1,0.6,0.0,0.4,0.30977123975070653,0.9640137339557107,1.001458737426822,9
0.5,0.8,1,0.6,0.2,0.2,0.3678602109397202,1.294182755985677,1.0424414504759036,9
0.5,0.8,1,0.6,0.4,0.0,0.3885393509855837,1.1553395941594566,0.8379817133721855,9
0.5,0.8,1,0.8,0.0,0.2,0.4008684630053531,0.767121677777602,0.8161656426156582,7
0.5,0.8,1,0.8,0.2,0.0,0.40723980443175645,1.1095426154027754,0.8519562625011845,9
0.5,0.8,1,1.0,0.0,0.0,0.4076711938052336,0.1961888264616745,0.20649558215438163,9
0.5,0.8,2,0.0,0.0,1.0,0.13645918601497822,0.5593778238058935,0.5291669972331741,7
0.5,0.8,2,0.0,0.2,0.8,0.2030194278226925,0.7775528956801382,0.9595110662069106,9
0.5,0.8,2,0.0,0.4,0.6,0.2030194278226925,0.7775528956801382,0.9595110662069106,9
0.5,0.8,2,0.0,0.6,0.4,0.22627166235185198,0.6371900364985038,0.6955439183438245,7
0.5,0.8,2,0.0,0.8,0.2,0.22627166235185198,0.6371900364985038,0.6955439183438245,7
