axis,level,slack,cap_sigma,seed,steer_napp,steer_nop,steer_nsys,edge_napp,edge_nsys,app_not_full_frac,app_unserved_mean,full_service_feasible,manip_app_gas_frac,manip_app_gas_rel,manip_app_gas_dem,manip_op_gasprice_frac,manip_op_gasprice_rel,manip_op_stake_frac,manip_op_stake_rel,manip_op_gas_frac,manip_op_gas_rel
slack,1.0,1.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0.3333333333333333,0.6093130617812702,0,4.48784960601663e-17,0,0.0
slack,1.0,1.0,0.8,2,0.25,0.6241331594211529,0.6144277736372457,0.25,0.6144277736372457,0.25,0.25,1.0,0.25,0.0,0.25,0.6666666666666666,6.184436159529199,0,0.0,0,0.0
slack,1.0,1.0,0.8,3,0.0,0.0,0.0,0.0,0.0,1,0.9295071094157972,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,1.0,1.0,0.8,4,0.4322283290438006,0.017247459183629577,0.0674142630054817,0.4322283290438006,0.0674142630054817,1,0.6998610267878684,0.0,0.25,0.6740906314117059,0.14353462445254145,0,0.0,0,5.664047495931839e-17,0,0.0
slack,1.0,1.0,0.8,5,0.0,0.3570252540784168,0.26347966890578056,0.0,0.26347966890578056,0,2.7755575615628914e-17,1.0,0,2.8343198439263966e-17,2.834319843926396e-17,0.3333333333333333,1.1609035929792892,0.3333333333333333,1.1609035929792892,0,0.0
slack,1.0,1.0,0.8,6,0.38315904844006055,0.2633619068311418,0.26425626956267934,0.38315904844006055,0.26425626956267934,0.75,0.6915795242200302,0.0,0,0.0,0.0,0,0.0,0,1.0211369113631385e-16,0,0.0
slack,1.0,1.0,0.8,7,0.0,0.07140668462220834,0.22741818965591354,0.0,0.22741818965591354,0.25,0.01055088170150334,0.0,0,0.0,0.0,0.3333333333333333,0.1456250996401334,0,3.7682654340335646e-17,0,0.0
slack,1.0,1.0,0.8,8,0.0,0.08891621967014507,0.0,0.0,0.0,0.75,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,1.0,1.0,0.8,9,0.0,0.38430196345017864,0.4186598268162637,0.0,0.4186598268162637,0.25,0.25,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,2.0,2.0,0.8,0,0.02326629311839262,0.7280156119774643,0.5501439576200287,0.02326629311839262,0.5501439576200287,0.75,0.5634212769333067,0.0,0.25,0.1699584922945275,0.06342127693330674,0.6666666666666666,2.0218784549806887,0,4.943390090473034e-17,0,0.0
slack,2.0,2.0,0.8,1,0.0,0.45989426322313876,0.38718153166803093,0.0,0.38718153166803093,0,0.0,1.0,0,0.0,0.0,0.3333333333333333,0.8264689536143064,0.3333333333333333,0.09538583775768299,0,0.0
slack,2.0,2.0,0.8,2,0.25,0.7429288847798601,0.7423622118016041,0.25,0.7423622118016041,0.25,0.25,1.0,0.25,0.0,0.25,0.6666666666666666,6.184436159529199,0,0.0,0,0.0
slack,2.0,2.0,0.8,3,0.0,0.0,0.0,0.0,0.0,1,0.8590142188315943,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,2.0,2.0,0.8,4,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0,0.0,0.0,0.3333333333333333,0.9239736191508516,0,6.423520016271107e-17,0,0.0
slack,2.0,2.0,0.8,5,0.0,0.749085669132536,0.26347966890578056,0.0,0.26347966890578056,0,2.7755575615628914e-17,1.0,0,2.8343198439263966e-17,2.834319843926396e-17,0.3333333333333333,1.1609035929792892,0.3333333333333333,1.1609035929792892,0,0.0
slack,2.0,2.0,0.8,6,0.3285331320558849,0.06915756864909628,0.049525077770272596,0.3285331320558849,0.049525077770272596,1,0.614547970072619,0.0,0.25,0.018987524518110196,0.009146426272837904,0.3333333333333333,0.20954953695689885,0,0.0,0,0.0
