seed,scale,objective,mean_app_util,mean_op_util,sys_util,n_chains
13,0.5,0.45182090072503883,25.324358218962086,17.00503548787346,3740.709959407019,9
13,0.8,0.3738036638603206,21.933191802658836,16.311639935410174,3961.6956104259098,9
13,1.0,0.32976703260807383,24.294333247306973,11.396357238212401,2583.702579053415,10
13,1.25,0.32384345725344316,23.229010491822496,13.093703367936065,3129.830121762388,10
13,2.0,0.2623009411655758,18.910860665588334,7.766161391086384,2041.1010281799568,9
13,4.0,0.24562016974937442,23.226229311085763,10.457351052523208,1914.3639568810868,8
14,0.25,0.3516470590521905,12.921226264909059,13.35095529207405,2550.578368211373,7
14,0.5,0.30960693011171797,15.637026603392773,13.650658003114943,2597.7434482951867,9
14,0.8,0.2635994884536856,15.637026603392773,13.650658003114943,2597.7434482951867,9
14,1.0,0.2482636745676748,15.637026603392773,13.650658003114943,2597.7434482951867,9
14,1.25,0.17120056475316137,12.872927596511163,5.487779770601106,1352.3674514207191,7
14,2.0,0.2451376611427086,21.486523209501307,28.53051718479673,4014.7515327377882,9
14,4.0,0.1952999110580822,11.794736154189286,8.221795174764681,1488.1148670397456,9
15,0.25,0.6697837178140411,26.36010318105776,10.201530592649675,2741.591346599925,10
15,0.5,0.4489246800625057,26.36010318105776,10.201530592649675,2741.591346599925,10
15,0.8,0.36778862672674684,24.8404395259077,10.563652895789945,2904.8416287763494,9
15,1.0,0.33856406867196687,24.8404395259077,10.563652895789945,2904.8416287763494,9
15,1.25,0.3151844222281429,24.8404395259077,10.563652895789945,2904.8416287763494,9
15,2.0,0.2748804655442673,20.09010151224313,7.3229702796834175,1960.40289582881,10
15,4.0,0.28110972284511865,27.72697306733703,9.27069965122542,2591.056541315841,7
16,0.25,0.6002397223022344,19.339882584864718,13.872945622756006,2346.9688278638614,8
16,0.5,0.40596342321441903,17.106995644502177,13.70567330684473,2213.3528831432313,8
16,0.8,0.29220327903019877,16.08202331999379,12.25895049905343,2271.566482279231,8
16,1.0,0.2657065225986664,16.08202331999379,12.380171948885328,2303.5199421292823,8
16,1.25,0.24945750339216818,15.686576630195745,12.83742466640344,2120.0082059977212,8
16,2.0,0.2323579849930853,16.04827471057791,13.672947470439972,2271.1081666480504,10
16,4.0,0.22287505287169823,18.181553820961152,12.638186682567321,2204.3874972979156,8
17,0.25,0.6461477176863581,15.314338999401393,12.118096688174603,2215.4502570630716,8
17,0.5,0.3948443757725968,15.314338999401393,12.118096688174603,2215.4502570630716,8
17,0.8,0.3378768126660391,17.21803598031098,10.591558013984189,2520.6591446687135,9
17,1.0,0.3025711857330692,17.21803598031098,10.591558013984189,2520.6591446687135,9
17,1.25,0.27432668418669326,17.21803598031098,10.591558013984189,2520.6591446687135,9
17,2.0,0.23460677012142056,14.948048969923452,8.44750424040037,2017.1423400015447,10
17,4.0,0.22256150827481933,16.656210217344885,7.17107909362331,1625.530239256558,9
18,0.25,0.286334404464564,15.355781506562902,8.806760715452219,1546.7497221101346,8
18,0.5,0.2793353816759374,15.974785398518176,23.78423552714432,3513.893259346929,10
18,0.8,0.2058598100761169,15.644242991625621,8.671393163172246,1388.5146645752232,9
18,1.0,0.17124951711169703,10.351332473869752,5.196006043325701,904.5643944429621,9
18,1.25,0.16417249752805,9.147515421919394,4.468150454458137,822.9876989656343,10
18,2.0,0.16272684818646804,11.371402205908879,6.493504466060856,1096.013284172385,8
18,4.0,0.14945305880496892,9.59536838307837,6.459651665116523,940.3406801077699,9
19,0.25,0.5773575678905947,17.479408222910003,7.360920583819606,1659.1517421783958,9
19,0.5,0.4427164030499403,20.255198015064607,8.589355590654232,2317.405451382687,8
19,0.8,0.3651362703322907,19.74765809635159,10.510499173607963,2602.7841535638127,7
19,1.0,0.3237157963601048,20.255198015064607,8.589355590654232,2317.405451382687,8
19,1.25,0.2999156750221377,20.255198015064607,8.589355590654232,2317.405451382687,8
19,2.0,0.23702247512669408,14.396717028061655,4.3614420924688755,1342.1639316929334,7
19,4.0,0.20401288881921775,14.276666488430514,4.770905557677159,1127.398078568193,7
