axis,level,slack,cap_sigma,seed,steer_napp,steer_nop,steer_nsys,edge_napp,edge_nsys,app_not_full_frac,app_unserved_mean,full_service_feasible,manip_app_gas_frac,manip_app_gas_rel,manip_app_gas_dem,manip_op_gasprice_frac,manip_op_gasprice_rel,manip_op_stake_frac,manip_op_stake_rel,manip_op_gas_frac,manip_op_gas_rel
slack,0.5,0.5,0.8,1,0.2673067432870777,0.6078595735206674,0.3160162255535444,0.2673067432870777,0.3160162255535444,1.0,0.4281684900620887,0.0,0.5,0.2221560653682853,0.123441162856954,0.3333333333333333,0.7282687088549323,0.0,0.0,0.0,0.0
slack,0.5,0.5,0.8,2,0.0377094651954052,0.8079810073370202,0.8043492231891248,0.0377094651954052,0.8043492231891248,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,5.097050196443832,0.3333333333333333,5.097050196443832,0.0,0.0
slack,0.5,0.5,0.8,3,0.0,0.0,0.0,0.0,0.0,1.0,0.9647535547078986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slack,0.5,0.5,0.8,4,0.2766282316810921,0.0017643409209491,0.0074337605102283,0.2766282316810921,0.0074337605102283,0.75,0.6274477240191667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slack,0.5,0.5,0.8,5,0.0604719018736169,0.2270796537973245,0.1626036456207701,0.0604719018736169,0.1626036456207701,0.25,0.0604719018736169,1.0,0.25,0.0797664072918787,0.0604719018736169,0.3333333333333333,0.1340143104494964,0.3333333333333333,0.1340143104494964,0.0,0.0
slack,0.5,0.5,0.8,6,0.4709088390863522,0.138877080221167,0.1393996117852569,0.4709088390863522,0.1393996117852569,1.0,0.8101980202533728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slack,0.5,0.5,0.8,7,0.2792241295964623,0.3148535595230857,0.2161523270481309,0.1376580181504373,0.0859519797464685,0.25,0.25,0.0,0.0,0.0,0.0,0.6666666666666666,0.1893215421075288,0.3333333333333333,0.1061866678968324,0.6666666666666666,0.1479905333696992
slack,0.5,0.5,0.8,8,0.0,0.088916219670145,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.1833002794955392e-16,0.0,0.0
slack,0.5,0.5,0.8,9,0.0,0.3843019634501786,0.4186598268162637,0.0,0.4186598268162637,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8317849416186226,0.0,0.0
slack,1.0,1.0,0.8,0,0.0,0.0,0.0,0.0,0.0,1.0,0.6808694507796607,0.0,0.25,0.0534862851201667,0.0241588123130072,0.0,0.0,0.3333333333333333,3.805660751701456,0.0,0.0
