cap_scale,seed,w_app,w_op,w_sys,napp,nsys
0.5,6,0.0,0.0,1.0,0.3602087671440018,0.15598295969992673
0.5,6,0.0,0.2,0.8,0.2703957664446569,0.16853973433562514
0.5,6,0.0,0.4,0.6,0.2703957664446569,0.16853973433562514
0.5,6,0.0,0.6,0.4,0.2703957664446569,0.16853973433562514
0.5,6,0.0,0.8,0.2,0.2703957664446569,0.16853973433562514
0.5,6,0.0,1.0,0.0,0.25311578650376393,0.20646863017926073
0.5,6,0.2,0.0,0.8,0.40667909282561465,0.18822798079970451
0.5,6,0.2,0.2,0.6,0.37404146341377553,0.1994059746868539
0.5,6,0.2,0.4,0.4,0.35387630072866544,0.16594866737658864
0.5,6,0.2,0.6,0.2,0.34594466446817224,0.19519631307363197
0.5,6,0.2,0.8,0.0,0.43760363962580195,0.15996604429346672
0.5,6,0.4,0.0,0.6,0.3746458292134928,0.18560889609997866
0.5,6,0.4,0.2,0.4,0.4161243629283146,0.13982093467793794
0.5,6,0.4,0.4,0.2,0.4610128086167934,0.14727598134060174
0.5,6,0.4,0.6,0.0,0.43760363962580195,0.15996604429346672
0.5,6,0.6,0.0,0.4,0.4537280322017634,0.19205974998345646
0.5,6,0.6,0.2,0.2,0.43760363962580195,0.15996604429346672
0.5,6,0.6,0.4,0.0,0.43760363962580195,0.15996604429346672
0.5,6,0.8,0.0,0.2,0.42215632938439107,0.1826026696198706
0.5,6,0.8,0.2,0.0,0.43760363962580195,0.15996604429346672
0.5,6,1.0,0.0,0.0,0.47626662279247445,0.09693819806491719
0.5,7,0.0,0.0,1.0,0.23691187895706664,0.20286700587511688
0.5,7,0.0,0.2,0.8,0.21402051149075424,0.21755871345287503
0.5,7,0.0,0.4,0.6,0.21402051149075424,0.21755871345287503
0.5,7,0.0,0.6,0.4,0.21402051149075424,0.21755871345287503
0.5,7,0.0,0.8,0.2,0.21402051149075424,0.21755871345287503
0.5,7,0.0,1.0,0.0,0.29797409010737674,0.20491886804045725
0.5,7,0.2,0.0,0.8,0.4723779435470671,0.20473835439951488
0.5,7,0.2,0.2,0.6,0.5285888483811971,0.2134144637608274
0.5,7,0.2,0.4,0.4,0.4178866252462587,0.2993000552089439
0.5,7,0.2,0.6,0.2,0.4241771644652186,0.26657760066632513
0.5,7,0.2,0.8,0.0,0.3809793599357381,0.14865617456918848
0.5,7,0.4,0.0,0.6,0.4001816209967801,0.30485037235483525
0.5,7,0.4,0.2,0.4,0.4241771644652186,0.26657760066632513
0.5,7,0.4,0.4,0.2,0.4241771644652186,0.26657760066632513
0.5,7,0.4,0.6,0.0,0.3809793599357381,0.14865617456918848
0.5,7,0.6,0.0,0.4,0.4787991512114682,0.19124431614270032
0.5,7,0.6,0.2,0.2,0.3809793599357381,0.14865617456918848
0.5,7,0.6,0.4,0.0,0.3809793599357381,0.14865617456918848
0.5,7,0.8,0.0,0.2,0.46181548057849414,0.16356139936099798
0.5,7,0.8,0.2,0.0,0.3809793599357381,0.14865617456918848
0.5,7,1.0,0.0,0.0,0.4095154833838909,0.14365263174202422
0.5,8,0.0,0.0,1.0,0.2547887422663673,0.23263635554062964
0.5,8,0.0,0.2,0.8,0.1690573972549893,0.2481022214704516
0.5,8,0.0,0.4,0.6,0.1690573972549893,0.2481022214704516
0.5,8,0.0,0.6,0.4,0.1690573972549893,0.2481022214704516
0.5,8,0.0,0.8,0.2,0.1690573972549893,0.2481022214704516
0.5,8,0.0,1.0,0.0,0.1354180856140242,0.16333958252097264
0.5,8,0.2,0.0,0.8,0.27303549179497993,0.2402029482136768
0.5,8,0.2,0.2,0.6,0.20636699547887954,0.18883266874284926
0.5,8,0.2,0.4,0.4,0.34487501140865473,0.19186647434359042
0.5,8,0.2,0.6,0.2,0.48752529370600833,0.22824737674719467
0.5,8,0.2,0.8,0.0,0.39902738581530073,0.08644658966047136
0.5,8,0.4,0.0,0.6,0.365545085995552,0.1613647262065633
0.5,8,0.4,0.2,0.4,0.3720916170973143,0.17108629789982388
0.5,8,0.4,0.4,0.2,0.4275177669245521,0.09027437689091034
0.5,8,0.4,0.6,0.0,0.39902738581530073,0.08644658966047136
0.5,8,0.6,0.0,0.4,0.4195973920907134,0.09350453128268518
0.5,8,0.6,0.2,0.2,0.4275177669245521,0.09027437689091034
0.5,8,0.6,0.4,0.0,0.46904906139827884,0.19918095789131327
0.5,8,0.8,0.0,0.2,0.4195973920907134,0.09350453128268518
0.5,8,0.8,0.2,0.0,0.4453547275857962,0.11530545179209212
0.5,8,1.0,0.0,0.0,0.39507955592765454,0.08941752591744245
0.5,9,0.0,0.0,1.0,0.3682413455526695,0.14358384124976808
0.5,9,0.0,0.2,0.8,0.34165858088045536,0.136091395412567
