slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
0.5,0.0,pareto,min,sys,5,fixed_point,3,3,15.15028194291896,15.15028194291896,5.4153245629247175,5.7576680908734,303.0056388583792,317.31686571178875,0,0
0.5,0.8,pareto,min,uniform,0,fixed_point,3,2,5.5767476945630765,5.5767476945630765,3.026668505503979,3.026668505503979,245.54318430214823,245.54318430214823,0,0
0.5,0.8,pareto,min,uniform,1,fixed_point,5,4,14.41784528206692,11.995695975156025,9.546859656176633,7.462152722253524,479.39321974558607,473.3204333039415,1,1
0.5,0.8,pareto,min,uniform,2,cycle,5,3,9.48051038596547,9.043484016534498,21.30239157448874,20.99592048649679,676.7732628572984,668.969737625546,1,1
0.5,0.8,pareto,min,uniform,3,fixed_point,1,0,5.449525408090613,5.449525408090613,3.847260400068397,3.847260400068397,139.96845839958564,139.96845839958564,0,0
0.5,0.8,pareto,min,uniform,4,fixed_point,1,0,11.773990786629277,11.773990786629277,6.991087897253455,6.991087897253455,305.5276622464834,305.5276622464834,0,0
0.5,0.8,pareto,min,uniform,5,fixed_point,4,4,14.605575289002433,9.970220139170776,4.331875225503548,5.438376393311548,221.86703908520144,271.4737644823474,2,1
0.5,0.8,pareto,min,sys,0,fixed_point,1,0,5.5767476945630765,5.5767476945630765,3.026668505503979,3.026668505503979,245.54318430214823,245.54318430214823,0,0
0.5,0.8,pareto,min,sys,1,max_rounds,6,6,14.41784528206692,10.631522943708411,9.546859656176633,4.902424611910044,479.39321974558607,387.7012707076195,2,2
0.5,0.8,pareto,min,sys,2,fixed_point,2,1,9.48051038596547,9.48051038596547,21.30239157448874,21.10746124635731,676.7732628572984,676.7732628572984,0,1
0.5,0.8,pareto,min,sys,3,fixed_point,1,0,5.449525408090613,5.449525408090613,3.847260400068397,3.847260400068397,139.96845839958564,139.96845839958564,0,0
0.5,0.8,pareto,min,sys,4,fixed_point,1,0,11.773990786629277,11.773990786629277,7.003444360726676,7.003444360726676,307.81589186787147,307.81589186787147,0,0
0.5,0.8,pareto,min,sys,5,fixed_point,5,5,14.605575289002433,11.233211584736804,4.331875225503548,3.881099244641055,221.86703908520144,232.09447586412324,1,1
4.0,0.0,pareto,min,uniform,0,fixed_point,4,3,11.270877924196258,11.270877924196258,5.558387339798884,7.416538782631536,225.41755848392515,309.40325991934344,0,0
4.0,0.0,pareto,min,uniform,1,max_rounds,6,3,26.865614605810904,26.865614605810904,13.159440697988892,12.099602359756949,537.312292116218,537.3122921162181,0,1
