seed,role,agent,coord,true_util_exact,max_gain_exact,rel_gain_exact,true_util_ls,max_gain_ls,rel_gain_ls
13,app,0,gasprice,97.08166607114804,0.0,0.0,97.08166607114804,0.0,0.0
13,app,1,gas,0.0,0.0,,0.0,0.0,
13,app,1,gasprice,0.0,0.0,,0.0,0.0,
13,app,2,gas,44.79770643259778,7.558159084873459,0.1687175457575132,44.79770643259778,7.558159084873459,0.1687175457575132
13,app,2,gasprice,44.79770643259778,0.0,0.0,44.79770643259778,0.0,0.0
13,app,3,gas,0.0,0.0,,0.0,0.0,
13,app,3,gasprice,0.0,0.0,,0.0,0.0,
13,op,0,gas,23.19252816311615,29.376669453736618,1.2666436900335565,23.19252816311615,29.376669453736618,1.2666436900335565
13,op,0,gasprice,23.19252816311615,0.0,0.0,23.19252816311615,0.0,0.0
13,op,1,gas,69.84818413419136,50.5528621943412,0.7237534206647341,69.84818413419136,50.5528621943412,0.7237534206647341
13,op,1,gasprice,69.84818413419136,0.0,0.0,69.84818413419136,0.0,0.0
13,op,2,gas,23.19252816311615,0.0,0.0,23.19252816311615,0.0,0.0
13,op,2,gasprice,23.19252816311615,0.0,0.0,23.19252816311615,0.0,0.0
14,app,0,gas,40.26649646810372,0.0,0.0,40.26649646810372,0.0,0.0
14,app,0,gasprice,40.26649646810372,0.0,0.0,40.26649646810372,0.0,0.0
14,app,1,gas,7.542289865786232,0.0,0.0,7.542289865786232,0.0,0.0
14,app,1,gasprice,7.542289865786232,0.0,0.0,7.542289865786232,0.0,0.0
14,app,2,gas,0.0,0.0,,0.0,4.164139564210237,
14,app,2,gasprice,0.0,3.992369084225017,,0.0,4.164139564210237,
14,app,3,gas,1.0779158714976902,0.0,0.0,0.0,0.0,
14,app,3,gasprice,1.0779158714976902,0.0,0.0,0.0,1.0779158714976902,
14,op,0,gas,3.880973022268333,0.0,0.0,0.0,0.0,
14,op,0,gasprice,3.880973022268333,0.0,0.0,0.0,0.0495624857646742,
14,op,1,gas,0.2345709910351861,0.0,0.0,9.671882289250386,0.0,0.0
14,op,1,gasprice,0.2345709910351861,9.4373112982152,40.23221821490955,9.671882289250386,0.0,0.0
14,op,2,gas,3.146999214422762,0.0,0.0,9.671882289250386,0.0,0.0
14,op,2,gasprice,3.146999214422762,0.0,0.0,9.671882289250386,0.0,0.0
15,app,0,gas,4.802453711232403,0.0,0.0,0.0,4.802453711232403,
15,app,0,gasprice,4.802453711232403,0.0,0.0,0.0,4.802453711232403,
15,app,1,gas,7.873103132865433,0.0,0.0,7.873103132865433,0.0,0.0
15,app,1,gasprice,7.873103132865433,0.0,0.0,7.873103132865433,0.0,0.0
15,app,2,gas,0.0,0.0,,0.0,0.0,
15,app,2,gasprice,0.0,29.783017746726607,,0.0,29.783017746726607,
15,app,3,gas,0.0,0.0,,0.0,0.0,
15,app,3,gasprice,0.0,0.0,,0.0,0.0,
15,op,0,gas,0.0,0.0,,0.0,0.0,
15,op,0,gasprice,0.0,5.045320892206706,,0.0,6.3790450990866425,
15,op,1,gas,1.3902323787069175,0.0,0.0,1.1210079930039547,0.269224385702963,0.2401627708126549
15,op,1,gasprice,1.3902323787069175,2.272131080762956,1.6343534473541104,1.1210079930039547,2.5413554664659195,2.2670270705705438
15,op,2,gas,0.0,0.0,,0.0,0.0,
15,op,2,gasprice,0.0,5.764754475734764,,0.0,7.288660041956161,
16,app,0,gas,11.08149169931724,0.0,0.0,11.08149169931724,0.0,0.0
16,app,0,gasprice,11.08149169931724,0.0,0.0,11.08149169931724,0.0,0.0
16,app,1,gas,37.74237571264554,0.0,0.0,37.74237571264554,0.0,0.0
16,app,1,gasprice,37.74237571264554,0.0,0.0,37.74237571264554,0.0,0.0
16,app,2,gas,56.78965184056874,0.0,0.0,56.78965184056874,0.0,0.0
16,app,2,gasprice,56.78965184056874,0.0,0.0,56.78965184056874,0.0,0.0
16,app,3,gas,56.31279334214919,0.0,0.0,56.31279334214919,0.0,0.0
16,app,3,gasprice,56.31279334214919,0.0,0.0,56.31279334214919,0.0,0.0
16,op,0,gas,3.62079943037658,0.0,0.0,3.62079943037658,0.0,0.0
16,op,0,gasprice,3.62079943037658,0.0,0.0,3.62079943037658,0.0,0.0
16,op,1,gas,16.623294077298365,0.0,0.0,16.623294077298365,0.0,0.0
16,op,1,gasprice,16.623294077298365,0.0,0.0,16.623294077298365,0.0,0.0
16,op,2,gas,40.55355854520182,0.0,0.0,40.55355854520182,0.0,0.0
16,op,2,gasprice,40.55355854520182,0.0,0.0,40.55355854520182,0.0,0.0
17,app,0,gas,59.72090272807607,0.6956097819872937,0.0116476769474596,59.72090272807607,0.6956097819872937,0.0116476769474596
17,app,0,gasprice,59.72090272807607,0.6956097819872937,0.0116476769474596,59.72090272807607,0.6956097819872937,0.0116476769474596
17,app,1,gas,27.850499782011,0.3243936242861629,0.0116476769474597,27.850499782011,0.3243936242861629,0.0116476769474597
17,app,1,gasprice,27.850499782011,0.3243936242861629,0.0116476769474597,27.850499782011,0.3243936242861629,0.0116476769474597
17,app,2,gas,0.0,0.0,,0.0,0.0,
17,app,2,gasprice,0.0,10.78896136145344,,0.0,10.78896136145344,
17,app,3,gas,0.0,0.0,,0.0,0.0,
17,app,3,gasprice,0.0,5.695965647743425,,0.0,5.695965647743425,
17,op,0,gas,0.0,6.967220571659735,,0.0,6.967220571659735,
17,op,0,gasprice,0.0,0.0,,0.0,0.0,
17,op,1,gas,0.0,0.0,,0.0,0.0,
17,op,1,gasprice,0.0,1.4712400548270543,,0.0,1.4712400548270543,
